date_exp,gpu_platform,BW,img_resolution,gpu_power,av_end2end_delay,av_gpu_delay,av_num_obj,AP1,powermeter_av,rapl_av,clocksp_av
2024-01-01 00:00:00,NVIDIA A100,20,94,250,4.25,34.36,5,0.83,71.69,42.7,2688
2024-01-01 00:05:00,NVIDIA A100,20,73,238,36.3,3.58,3,0.71,15.19,79.52,2731
2024-01-01 00:10:00,NVIDIA A100,50,52,261,103.7,29.62,14,0.93,63.25,72.31,2971
2024-01-01 00:15:00,NVIDIA RTX 3090,100,78,242,101.31,20.17,9,0.92,39.21,18.49,2516
2024-01-01 00:20:00,NVIDIA RTX 3090,10,91,285,71.94,30.77,14,0.69,59.36,20.46,3256
2024-01-01 00:25:00,NVIDIA RTX 3090,50,67,121,9.58,11.54,8,0.87,77.54,74.84,2634
2024-01-01 00:30:00,NVIDIA A100,100,70,161,9.75,1.41,1,0.56,82.03,38.98,2268
2024-01-01 00:35:00,NVIDIA RTX 3090,20,85,178,40.51,42.79,7,0.77,56.8,77.81,3845
2024-01-01 00:40:00,NVIDIA RTX 3090,50,63,153,15.62,22.37,12,0.81,54.09,19.42,2176
2024-01-01 00:45:00,NVIDIA A100,20,99,95,4.77,40.83,3,0.6,78.35,64.72,2569
2024-01-01 00:50:00,NVIDIA RTX 3090,10,73,131,80.37,22.97,8,0.92,51.47,11.02,3934
2024-01-01 00:55:00,NVIDIA A100,10,96,247,21.83,29.71,6,0.7,119.8,27.26,3068
2024-01-01 01:00:00,NVIDIA RTX 3090,10,96,162,20.99,23.94,6,0.63,18.78,61.83,2991
2024-01-01 01:05:00,NVIDIA A100,10,82,90,4.76,37.58,11,0.93,141.28,79.15,3735
2024-01-01 01:10:00,NVIDIA A100,100,54,184,14.87,36.7,13,0.76,94.17,74.28,3232
2024-01-01 01:15:00,NVIDIA RTX 3090,20,61,231,14.71,44.81,7,0.74,131.13,20.09,3855
2024-01-01 01:20:00,NVIDIA RTX 3090,50,86,55,75.95,43.93,4,0.68,123.13,34.41,3205
2024-01-01 01:25:00,NVIDIA A100,20,51,106,27.78,29.27,13,0.83,88.42,62.8,3361
2024-01-01 01:30:00,NVIDIA A100,20,50,257,104.41,27.76,14,0.73,105.74,19.21,3397
2024-01-01 01:35:00,NVIDIA A100,10,87,235,0.32,7.63,7,0.75,149.01,25.59,2214
2024-01-01 01:40:00,NVIDIA RTX 3090,20,58,169,17.65,27.29,11,0.59,32.42,76.32,3765
2024-01-01 01:45:00,NVIDIA A100,50,96,99,49.94,30.11,2,0.72,28.64,14.26,3283
2024-01-01 01:50:00,NVIDIA A100,50,56,121,3.21,6.44,1,0.71,82.51,7.46,2827
2024-01-01 01:55:00,NVIDIA A100,20,94,104,190.06,25.85,8,0.64,133.82,58.58,3015
2024-01-01 02:00:00,NVIDIA RTX 3090,50,79,224,11.42,32.12,9,0.94,54.62,56.55,2278
2024-01-01 02:05:00,NVIDIA RTX 3090,100,70,50,20.27,7.18,4,0.55,34.53,75.35,3671
2024-01-01 02:10:00,NVIDIA A100,100,64,269,64.35,47.1,6,0.57,116.09,42.49,2551
2024-01-01 02:15:00,NVIDIA A100,20,79,112,41.49,13.61,7,0.78,83.9,6.25,2268
2024-01-01 02:20:00,NVIDIA A100,50,89,71,23.07,41.54,10,0.64,75.35,37.68,3502
2024-01-01 02:25:00,NVIDIA RTX 3090,20,75,247,28.66,30.82,12,0.81,33.67,47.71,3840
2024-01-01 02:30:00,NVIDIA RTX 3090,100,61,133,23.86,18.6,11,0.69,35.82,14.93,2300
2024-01-01 02:35:00,NVIDIA RTX 3090,20,53,249,95.75,34.59,4,0.66,99.14,40.41,2760
2024-01-01 02:40:00,NVIDIA RTX 3090,20,78,256,24.6,41.79,8,0.99,72.71,29.59,2166
2024-01-01 02:45:00,NVIDIA A100,10,80,236,46.88,1.26,12,0.6,21.24,9.26,2209
2024-01-01 02:50:00,NVIDIA RTX 3090,100,77,97,28.42,24.03,3,0.89,60.74,45.08,2931
2024-01-01 02:55:00,NVIDIA A100,10,68,156,55.6,28.41,11,0.74,50.33,55.56,2065
2024-01-01 03:00:00,NVIDIA A100,20,93,184,225.62,30.41,5,0.97,14.94,44.73,2793
2024-01-01 03:05:00,NVIDIA A100,50,88,220,49.03,21.18,14,0.63,86.83,33.2,2129
2024-01-01 03:10:00,NVIDIA A100,20,61,114,23.78,1.77,1,0.94,84.64,39.98,3383
2024-01-01 03:15:00,NVIDIA RTX 3090,10,65,197,55.57,29.41,7,0.55,54.47,29.59,3135
2024-01-01 03:20:00,NVIDIA RTX 3090,100,53,118,34.38,42.43,14,0.98,17.06,52.41,3952
2024-01-01 03:25:00,NVIDIA RTX 3090,100,87,253,42.22,43.5,12,0.95,68.93,65.93,2463
2024-01-01 03:30:00,NVIDIA RTX 3090,20,91,118,33.67,8.55,13,0.9,113.51,46.16,3411
2024-01-01 03:35:00,NVIDIA A100,50,54,156,21.91,26.86,14,0.56,76.01,14.02,3334
2024-01-01 03:40:00,NVIDIA A100,50,87,144,83.29,19.23,10,0.78,55.56,23.44,3055
2024-01-01 03:45:00,NVIDIA A100,10,52,239,73.98,44.25,5,0.83,128.62,45.31,3360
2024-01-01 03:50:00,NVIDIA RTX 3090,50,73,148,62.49,6.64,13,0.64,142.54,68.48,2762
2024-01-01 03:55:00,NVIDIA A100,20,70,78,4.72,15.99,1,0.98,142.09,68.18,2956
2024-01-01 04:00:00,NVIDIA RTX 3090,100,54,56,21.94,11.96,14,0.78,112.15,68.08,3414
2024-01-01 04:05:00,NVIDIA RTX 3090,10,84,237,14.57,8.19,14,0.63,16.25,14.57,2590
2024-01-01 04:10:00,NVIDIA A100,100,94,205,151.72,9.83,3,0.88,106.43,59.1,3362
2024-01-01 04:15:00,NVIDIA RTX 3090,100,74,286,13.93,47.21,2,0.6,81.48,9.7,3463
2024-01-01 04:20:00,NVIDIA RTX 3090,20,59,114,58.22,42.09,7,0.67,109.93,31.49,3602
2024-01-01 04:25:00,NVIDIA RTX 3090,100,62,211,110.09,22.97,1,0.85,37.71,69.77,2194
2024-01-01 04:30:00,NVIDIA RTX 3090,50,77,78,11.52,25.04,9,0.85,55.85,65.5,2772
2024-01-01 04:35:00,NVIDIA RTX 3090,10,58,220,15.92,20.72,8,0.64,68.77,8.9,3200
2024-01-01 04:40:00,NVIDIA A100,20,81,156,128.17,17.14,4,0.97,60.58,30.88,3811
2024-01-01 04:45:00,NVIDIA A100,100,96,101,2.08,32.3,8,0.89,77.84,44.88,2130
2024-01-01 04:50:00,NVIDIA RTX 3090,20,56,281,115.48,32.52,13,0.65,64.18,31.66,3390
2024-01-01 04:55:00,NVIDIA RTX 3090,10,56,132,48.08,1.12,7,0.94,71.28,16.0,2444
2024-01-01 05:00:00,NVIDIA A100,10,78,210,0.76,23.58,12,0.73,14.12,23.67,2022
2024-01-01 05:05:00,NVIDIA RTX 3090,20,56,232,17.64,46.15,12,0.86,26.84,68.42,2911
2024-01-01 05:10:00,NVIDIA RTX 3090,10,92,78,10.7,38.72,10,0.79,56.02,76.76,2905
2024-01-01 05:15:00,NVIDIA RTX 3090,20,93,154,100.14,6.25,12,0.97,127.33,49.89,3087
2024-01-01 05:20:00,NVIDIA RTX 3090,20,96,101,3.42,4.48,12,0.54,26.84,64.46,2957
2024-01-01 05:25:00,NVIDIA RTX 3090,20,67,94,175.42,2.98,3,0.97,92.58,32.92,3315
2024-01-01 05:30:00,NVIDIA RTX 3090,20,87,107,61.49,41.08,10,0.86,34.48,17.88,2078
2024-01-01 05:35:00,NVIDIA A100,50,68,177,18.88,46.41,14,0.6,126.52,56.6,3529
2024-01-01 05:40:00,NVIDIA RTX 3090,10,95,220,26.15,12.64,13,0.6,93.67,72.22,3771
2024-01-01 05:45:00,NVIDIA A100,50,90,111,38.06,29.6,9,0.58,62.09,8.73,2841
2024-01-01 05:50:00,NVIDIA A100,10,68,154,2.26,40.97,8,0.77,17.44,45.44,3644
2024-01-01 05:55:00,NVIDIA A100,10,82,296,83.88,47.54,3,0.85,35.41,41.88,3712
2024-01-01 06:00:00,NVIDIA A100,20,58,172,49.56,35.09,2,0.6,130.7,56.46,3218
2024-01-01 06:05:00,NVIDIA A100,50,51,252,22.64,20.82,3,0.93,91.56,24.23,3599
2024-01-01 06:10:00,NVIDIA A100,100,89,64,105.13,24.31,6,0.85,57.92,31.08,2397
2024-01-01 06:15:00,NVIDIA RTX 3090,10,82,167,37.7,17.0,4,0.95,65.95,78.19,3107
2024-01-01 06:20:00,NVIDIA A100,50,62,54,11.57,14.44,3,0.66,77.75,31.62,3564
2024-01-01 06:25:00,NVIDIA RTX 3090,20,95,180,19.21,28.95,12,0.76,127.89,15.25,2195
2024-01-01 06:30:00,NVIDIA A100,10,94,128,59.0,17.08,12,0.95,59.14,70.4,2623
2024-01-01 06:35:00,NVIDIA RTX 3090,100,94,55,29.78,4.66,3,0.78,54.48,7.91,3125
2024-01-01 06:40:00,NVIDIA RTX 3090,10,81,157,4.93,21.06,5,0.58,105.15,29.24,3971
2024-01-01 06:45:00,NVIDIA RTX 3090,10,74,134,19.88,46.87,13,0.74,137.46,59.68,2381
2024-01-01 06:50:00,NVIDIA A100,10,98,88,16.62,8.98,7,0.61,64.15,32.11,2997
2024-01-01 06:55:00,NVIDIA A100,50,94,213,7.78,22.26,8,0.53,94.25,21.74,3725
2024-01-01 07:00:00,NVIDIA A100,20,52,287,6.53,49.09,13,0.69,82.22,58.66,2626
2024-01-01 07:05:00,NVIDIA A100,20,51,184,43.76,42.85,9,0.95,78.59,62.37,2934
2024-01-01 07:10:00,NVIDIA RTX 3090,20,88,289,3.94,5.96,7,0.66,39.61,21.33,3461
2024-01-01 07:15:00,NVIDIA A100,50,80,116,46.81,25.76,4,0.79,66.46,23.67,3713
2024-01-01 07:20:00,NVIDIA RTX 3090,50,54,266,39.38,31.58,3,0.79,131.98,73.28,2970
2024-01-01 07:25:00,NVIDIA A100,100,95,292,46.13,14.29,1,0.76,88.57,64.04,2764
2024-01-01 07:30:00,NVIDIA A100,50,95,74,126.06,5.85,11,0.67,41.07,7.55,3350
2024-01-01 07:35:00,NVIDIA RTX 3090,20,56,169,157.32,30.02,8,0.79,42.38,5.09,3902
2024-01-01 07:40:00,NVIDIA RTX 3090,20,80,184,12.17,8.02,7,0.58,14.43,50.94,2281
2024-01-01 07:45:00,NVIDIA RTX 3090,20,81,103,31.76,8.67,11,0.93,139.14,57.54,3590
2024-01-01 07:50:00,NVIDIA A100,100,93,92,61.32,35.44,8,0.68,102.37,39.09,3836
2024-01-01 07:55:00,NVIDIA A100,100,86,233,32.96,22.96,11,0.66,84.72,77.25,2765
2024-01-01 08:00:00,NVIDIA A100,100,93,154,39.0,4.15,1,0.77,103.62,30.03,3657
2024-01-01 08:05:00,NVIDIA RTX 3090,50,83,148,50.17,30.01,5,0.86,72.76,73.81,3530
