date_exp,gpu_platform,BW,img_resolution,gpu_power,av_end2end_delay,av_gpu_delay,av_num_obj,AP1,powermeter_av,rapl_av
2024-01-01 00:00:00,NVIDIA RTX 3090,20,59,84,18.91,47.27,1,0.89,138.86,10.71
2024-01-01 00:05:00,NVIDIA RTX 3090,50,95,152,151.43,45.57,6,0.46,92.02,79.38
2024-01-01 00:10:00,NVIDIA A100,100,85,184,138.09,30.79,9,0.6,81.07,71.95
2024-01-01 00:15:00,NVIDIA A100,20,90,152,54.96,41.05,3,0.71,42.95,18.65
2024-01-01 00:20:00,NVIDIA A100,10,98,237,61.37,27.05,2,1.0,107.6,18.1
2024-01-01 00:25:00,NVIDIA RTX 3090,10,67,190,45.41,34.51,9,0.56,92.6,21.0
2024-01-01 00:30:00,NVIDIA A100,10,73,284,60.26,12.71,9,0.23,39.52,70.34
2024-01-01 00:35:00,NVIDIA RTX 3090,100,92,260,197.05,46.3,4,0.82,73.88,79.52
2024-01-01 00:40:00,NVIDIA A100,20,69,184,76.52,26.46,4,0.32,111.93,60.18
2024-01-01 00:45:00,NVIDIA RTX 3090,100,51,181,196.88,7.59,9,0.87,91.87,50.34
2024-01-01 00:50:00,NVIDIA A100,50,75,92,22.7,23.75,6,0.77,57.37,29.39
2024-01-01 00:55:00,NVIDIA RTX 3090,20,61,204,152.16,25.59,8,0.97,54.93,44.46
2024-01-01 01:00:00,NVIDIA A100,100,77,126,135.32,20.52,4,0.49,13.14,9.77
2024-01-01 01:05:00,NVIDIA A100,50,56,123,118.89,13.34,8,0.55,109.89,79.72
2024-01-01 01:10:00,NVIDIA RTX 3090,10,91,131,191.97,35.72,6,0.49,80.26,38.9
2024-01-01 01:15:00,NVIDIA A100,100,98,277,68.19,7.95,6,0.19,127.51,55.03
2024-01-01 01:20:00,NVIDIA RTX 3090,50,89,267,97.14,15.6,3,0.66,109.4,61.05
2024-01-01 01:25:00,NVIDIA RTX 3090,20,57,106,114.55,9.96,9,0.51,98.93,63.37
2024-01-01 01:30:00,NVIDIA RTX 3090,100,86,200,139.59,44.98,3,0.65,53.97,55.89
2024-01-01 01:35:00,NVIDIA A100,10,73,193,135.15,39.44,7,0.45,38.82,50.62
2024-01-01 01:40:00,NVIDIA A100,20,94,269,153.12,45.02,6,0.74,110.51,74.78
2024-01-01 01:45:00,NVIDIA RTX 3090,10,80,237,134.27,42.78,7,0.18,23.59,63.13
2024-01-01 01:50:00,NVIDIA RTX 3090,50,89,72,121.64,34.21,2,0.19,49.02,45.46
2024-01-01 01:55:00,NVIDIA RTX 3090,50,87,220,129.21,11.21,5,0.92,11.15,37.17
2024-01-01 02:00:00,NVIDIA A100,50,60,239,37.78,31.98,3,0.47,38.5,8.72
2024-01-01 02:05:00,NVIDIA RTX 3090,20,53,56,147.12,48.1,2,0.75,138.33,68.86
2024-01-01 02:10:00,NVIDIA A100,10,56,157,54.81,12.87,3,0.92,46.85,6.27
2024-01-01 02:15:00,NVIDIA A100,20,61,80,147.24,34.38,4,0.68,57.38,5.31
2024-01-01 02:20:00,NVIDIA A100,10,66,214,174.51,11.34,6,0.35,74.43,59.1
2024-01-01 02:25:00,NVIDIA RTX 3090,20,65,223,53.83,45.57,8,0.51,133.09,58.51
2024-01-01 02:30:00,NVIDIA A100,100,51,92,41.91,12.11,2,0.95,119.16,75.59
2024-01-01 02:35:00,NVIDIA A100,20,57,201,128.45,44.8,1,0.67,79.38,14.63
2024-01-01 02:40:00,NVIDIA A100,10,58,167,140.7,21.38,6,0.69,99.91,56.14
2024-01-01 02:45:00,NVIDIA A100,50,65,69,25.09,34.25,4,0.11,115.43,56.51
2024-01-01 02:50:00,NVIDIA RTX 3090,50,54,106,36.35,40.16,3,0.69,62.58,53.98
2024-01-01 02:55:00,NVIDIA A100,10,84,299,170.34,25.29,9,0.96,29.51,69.7
2024-01-01 03:00:00,NVIDIA A100,10,55,207,152.18,40.67,6,0.18,103.49,20.32
2024-01-01 03:05:00,NVIDIA A100,10,86,188,127.29,32.36,9,0.44,73.15,8.39
2024-01-01 03:10:00,NVIDIA RTX 3090,100,68,87,95.37,45.03,8,0.76,35.81,10.39
2024-01-01 03:15:00,NVIDIA RTX 3090,20,99,91,192.78,15.25,6,0.41,116.15,38.49
2024-01-01 03:20:00,NVIDIA A100,100,71,285,151.53,17.93,5,0.13,53.96,54.52
2024-01-01 03:25:00,NVIDIA A100,20,73,188,47.06,40.59,4,0.36,53.68,54.81
2024-01-01 03:30:00,NVIDIA A100,20,68,241,130.09,21.08,7,0.73,48.43,46.74
2024-01-01 03:35:00,NVIDIA A100,10,78,80,140.29,27.48,5,0.6,21.87,46.87
2024-01-01 03:40:00,NVIDIA A100,10,91,87,188.81,38.03,2,0.63,44.72,55.24
2024-01-01 03:45:00,NVIDIA A100,20,85,88,173.13,3.12,1,0.95,14.43,41.61
2024-01-01 03:50:00,NVIDIA RTX 3090,20,60,55,11.35,24.84,9,0.74,126.09,40.21
2024-01-01 03:55:00,NVIDIA RTX 3090,10,83,69,82.03,42.09,5,0.24,118.07,65.31
2024-01-01 04:00:00,NVIDIA RTX 3090,20,62,274,138.81,40.14,7,0.71,54.52,68.74
2024-01-01 04:05:00,NVIDIA RTX 3090,50,62,173,95.86,14.12,4,0.61,69.83,28.52
2024-01-01 04:10:00,NVIDIA RTX 3090,20,64,114,149.71,24.15,6,0.94,81.72,72.19
2024-01-01 04:15:00,NVIDIA RTX 3090,50,52,81,117.17,21.08,9,0.23,148.34,34.77
2024-01-01 04:20:00,NVIDIA RTX 3090,10,58,245,192.48,18.34,3,0.35,47.71,61.88
2024-01-01 04:25:00,NVIDIA A100,50,79,293,106.88,7.88,4,0.67,94.05,18.53
2024-01-01 04:30:00,NVIDIA RTX 3090,50,81,168,23.5,21.35,8,0.23,117.63,75.54
2024-01-01 04:35:00,NVIDIA A100,100,66,146,152.57,38.99,2,0.27,32.09,43.08
2024-01-01 04:40:00,NVIDIA RTX 3090,20,97,92,38.34,43.76,8,0.66,16.31,60.83
2024-01-01 04:45:00,NVIDIA RTX 3090,100,86,154,13.92,26.13,3,0.32,40.1,47.37
2024-01-01 04:50:00,NVIDIA RTX 3090,50,80,147,87.85,33.18,3,0.13,22.84,34.04
2024-01-01 04:55:00,NVIDIA RTX 3090,20,84,238,98.52,12.89,9,0.98,72.74,66.68
2024-01-01 05:00:00,NVIDIA RTX 3090,100,96,148,96.89,22.57,4,0.46,47.42,15.74
2024-01-01 05:05:00,NVIDIA RTX 3090,50,69,222,133.82,16.66,5,0.98,140.16,40.25
2024-01-01 05:10:00,NVIDIA RTX 3090,100,71,242,19.82,42.56,2,0.16,45.31,37.0
2024-01-01 05:15:00,NVIDIA A100,50,67,177,55.74,4.5,4,0.14,27.69,63.32
2024-01-01 05:20:00,NVIDIA A100,10,88,136,43.95,10.24,1,0.64,61.85,79.23
2024-01-01 05:25:00,NVIDIA RTX 3090,10,79,297,164.82,7.91,9,0.71,41.74,44.95
2024-01-01 05:30:00,NVIDIA RTX 3090,50,60,202,89.13,40.51,6,0.55,70.27,46.67
2024-01-01 05:35:00,NVIDIA RTX 3090,20,50,220,145.06,9.84,9,0.98,31.78,68.25
2024-01-01 05:40:00,NVIDIA A100,50,93,285,85.62,42.08,8,0.96,67.61,46.73
2024-01-01 05:45:00,NVIDIA A100,20,77,208,64.13,2.57,8,0.91,89.85,31.41
2024-01-01 05:50:00,NVIDIA A100,20,77,126,74.46,23.45,6,0.15,45.66,13.08
2024-01-01 05:55:00,NVIDIA A100,50,74,53,30.18,15.59,8,0.55,42.24,7.38
2024-01-01 06:00:00,NVIDIA RTX 3090,10,84,250,176.08,31.4,4,0.53,28.08,43.49
2024-01-01 06:05:00,NVIDIA A100,100,74,167,25.97,12.89,4,0.96,139.1,59.15
2024-01-01 06:10:00,NVIDIA RTX 3090,20,95,197,144.83,31.44,2,0.39,78.11,47.42
2024-01-01 06:15:00,NVIDIA RTX 3090,50,63,98,15.42,27.8,1,0.21,58.45,14.83
2024-01-01 06:20:00,NVIDIA A100,50,68,53,121.56,43.14,9,0.52,81.64,7.78
2024-01-01 06:25:00,NVIDIA A100,10,61,274,90.76,2.63,5,0.71,147.14,72.24
2024-01-01 06:30:00,NVIDIA RTX 3090,50,73,87,66.77,7.14,1,0.6,76.91,14.65
2024-01-01 06:35:00,NVIDIA A100,50,63,277,86.29,28.25,1,0.36,120.37,6.67
2024-01-01 06:40:00,NVIDIA RTX 3090,20,83,248,78.55,27.09,1,0.41,79.91,53.01
2024-01-01 06:45:00,NVIDIA A100,50,97,114,11.76,36.86,1,0.22,30.39,67.04
2024-01-01 06:50:00,NVIDIA A100,50,64,217,37.41,22.79,4,0.54,27.77,73.6
2024-01-01 06:55:00,NVIDIA RTX 3090,10,94,155,68.02,26.18,9,0.94,75.0,17.67
2024-01-01 07:00:00,NVIDIA RTX 3090,10,76,245,17.96,32.34,8,0.35,101.38,41.73
2024-01-01 07:05:00,NVIDIA RTX 3090,20,67,128,92.24,37.18,3,0.26,135.65,78.82
2024-01-01 07:10:00,NVIDIA A100,50,82,215,53.52,29.78,8,0.48,42.82,76.4
2024-01-01 07:15:00,NVIDIA A100,10,75,221,183.4,16.0,4,0.88,103.97,65.93
2024-01-01 07:20:00,NVIDIA A100,10,97,263,21.3,20.21,1,0.2,132.52,23.2
2024-01-01 07:25:00,NVIDIA A100,20,55,210,107.97,7.4,7,0.14,125.02,16.14
2024-01-01 07:30:00,NVIDIA A100,100,79,126,106.15,29.65,1,0.34,55.43,23.25
2024-01-01 07:35:00,NVIDIA RTX 3090,10,84,104,137.92,19.72,4,0.87,50.21,34.56
2024-01-01 07:40:00,NVIDIA A100,50,97,106,99.08,16.14,5,0.97,136.79,15.47
2024-01-01 07:45:00,NVIDIA RTX 3090,50,91,164,196.47,36.36,5,0.1,110.73,7.61
2024-01-01 07:50:00,NVIDIA A100,100,90,174,115.86,47.41,6,0.13,71.13,15.07
2024-01-01 07:55:00,NVIDIA A100,100,50,199,72.11,41.57,1,0.27,67.07,40.56
2024-01-01 08:00:00,NVIDIA A100,20,53,198,56.05,14.57,7,0.49,92.03,13.34
2024-01-01 08:05:00,NVIDIA A100,100,62,244,84.68,47.96,9,0.47,137.94,37.98
2024-01-01 08:10:00,NVIDIA A100,100,90,116,199.87,35.48,3,0.27,66.65,43.12
2024-01-01 08:15:00,NVIDIA A100,10,84,53,123.94,13.33,2,0.32,98.92,58.42
