mcs_dl_i,mcs_ul_i,dl_kbps_i,ul_kbps_i,cpu_set,cpu_i,explode
23,21,88122,3192,Core 0-3,0.20736773272220205,0
26,4,65666,40782,Core 0-3,0.6955529301244455,0
6,21,25243,35268,Core 4-7,0.6830123211021477,0
7,22,78059,880,Core 4-7,0.6298996798003014,0
18,16,67934,37424,Core 4-7,0.800657491484166,0
1,17,19035,22817,Core 0-3,0.8555757471642915,0
26,18,92760,49285,Core 4-7,0.30132194412344115,0
25,2,14949,35503,Core 0-3,0.42111850065540335,0
16,21,47025,19317,Core 4-7,0.6560555346871616,0
18,12,56113,29349,Core 4-7,0.0,0
18,10,74769,6641,Core 4-7,0.44985492842688884,1
19,9,64326,5946,Core 4-7,0.6925346658580495,0
28,23,67468,16997,Core 4-7,0.43027569885735717,0
13,26,56301,25283,Core 0-3,0.6463469798126382,0
19,4,93272,27114,Core 0-3,0.09992347844766863,0
3,15,81248,40287,Core 0-3,0.5568074863028514,0
20,21,24650,42061,Core 0-3,0.40782256752440416,0
27,27,34815,43216,Core 4-7,0.45494498531532634,0
17,23,37628,34849,Core 4-7,0.31042651152913614,1
11,10,42864,34394,Core 4-7,0.8198426527575233,0
29,9,3480,41041,Core 0-3,0.5137871383482977,0
17,28,82692,49548,Core 4-7,0.5291453269191023,0
12,26,90518,24115,Core 0-3,0.9123183249407074,0
12,7,7142,42113,Core 0-3,0.31502365091416773,0
20,11,5602,32521,Core 0-3,0.527982630952853,0
16,29,99172,43367,Core 0-3,0.3637572936945045,0
1,2,65884,8769,Core 0-3,0.35407536453668376,0
28,20,55761,37398,Core 0-3,0.5615620817434112,0
20,26,41836,25663,Core 4-7,0.4436288461576634,0
13,29,34351,25502,Core 4-7,0.8956427780795124,0
2,20,50423,46910,Core 4-7,0.8564516230718586,0
16,27,62364,44638,Core 0-3,0.4675035809570456,0
7,25,57271,38826,Core 4-7,0.1917960059647571,0
22,24,2507,32518,Core 0-3,0.4417671393902667,0
2,16,40190,14749,Core 0-3,0.7095038688063852,0
18,6,74195,36272,Core 0-3,0.32269731718243594,0
28,8,30430,2826,Core 0-3,0.8209289476090004,0
17,23,75751,45251,Core 4-7,0.6162329335622565,0
16,24,83698,31479,Core 4-7,0.2658288510720128,0
20,29,43312,33875,Core 0-3,0.36797923162219903,0
18,23,91984,29108,Core 4-7,0.39623770905501493,0
21,18,17621,34295,Core 0-3,0.33879526141255867,0
28,11,53091,24238,Core 4-7,0.2709079138260945,0
28,28,61418,2158,Core 0-3,0.3849862588629364,1
20,22,54869,18779,Core 4-7,0.42386064311921123,0
16,4,91912,25361,Core 4-7,0.7598187669951562,0
1,4,86540,36697,Core 4-7,0.5877348518645265,0
21,10,76744,46787,Core 4-7,0.5996362564925813,0
5,22,22577,18324,Core 0-3,0.5699197200175984,0
15,16,59463,35282,Core 0-3,0.3407778239688083,0
13,24,28683,14883,Core 4-7,0.7294219873998062,0
5,21,19356,22542,Core 0-3,0.413127846144106,0
18,3,7596,16531,Core 0-3,0.4328313607299624,0
20,12,95285,7113,Core 0-3,0.5758229850597051,0
5,17,80109,15831,Core 0-3,0.9999473741382549,0
16,5,79612,30350,Core 0-3,0.38692532310828454,0
11,3,7902,14604,Core 0-3,0.17410275923951213,0
11,16,54395,43573,Core 4-7,0.5578670879753673,0
22,19,6769,8673,Core 4-7,0.6367711595118279,0
23,4,89171,4825,Core 4-7,0.41312844749243977,0
26,9,49453,44746,Core 4-7,0.3812501448513614,0
27,4,89402,33279,Core 4-7,0.24573302601392372,0
3,21,33817,44120,Core 0-3,0.5674093308029179,0
19,10,69255,42145,Core 4-7,0.8888665051773947,0
10,21,34798,49893,Core 4-7,0.84249117565959,0
28,17,46114,16369,Core 0-3,0.5601643136259001,0
2,16,68162,17096,Core 4-7,0.4167614003019973,0
25,7,72154,32355,Core 0-3,0.576394787206141,0
17,15,21519,11613,Core 0-3,0.43502363267024435,0
3,18,70610,14014,Core 4-7,0.3718754247598207,0
3,6,12719,29512,Core 4-7,0.5325718155682684,0
8,15,11017,3608,Core 4-7,0.7555844256359521,0
16,11,59611,14455,Core 4-7,0.4621386692382111,0
12,20,57956,27568,Core 0-3,0.4597840848892036,0
22,5,22694,15162,Core 0-3,0.4470480994568884,0
19,16,24277,12706,Core 0-3,0.6585274226657645,0
1,12,12848,21454,Core 4-7,0.6704311807958754,0
19,21,29685,35844,Core 0-3,0.2847218708627932,0
4,4,65100,2323,Core 4-7,0.46468284691145423,0
17,2,61375,9597,Core 0-3,0.7212515537154245,0
19,28,89002,26046,Core 0-3,0.4330727835203133,0
4,16,3575,7598,Core 4-7,0.7784997492803638,0
15,8,32742,1285,Core 0-3,0.6372962609668182,0
7,17,3291,37782,Core 0-3,0.8512771641534964,0
20,9,29810,29882,Core 4-7,0.4377505883250373,0
17,6,90368,40470,Core 4-7,0.6403502646778569,0
25,4,51408,28386,Core 0-3,0.6465756249431578,0
22,22,49363,27712,Core 0-3,0.7154911362399243,0
9,27,72334,42073,Core 0-3,0.5706773964717802,0
7,25,79889,42037,Core 4-7,0.7226806065087786,0
4,13,72289,48239,Core 4-7,0.37384397602800445,0
17,14,88429,13499,Core 4-7,0.4888384143871502,0
15,12,66799,666,Core 0-3,0.20238952005976674,0
23,28,79665,14674,Core 0-3,0.44605079547555615,0
9,25,22196,4388,Core 4-7,0.3297903240279583,0
28,3,98302,6818,Core 0-3,0.5662101942877296,0
16,29,56650,5911,Core 0-3,0.6972127283018333,0
6,15,64420,47625,Core 4-7,0.6129241189660292,0
28,15,33796,13770,Core 4-7,0.6560444933232351,0
17,15,95374,27968,Core 0-3,0.5191089484584398,0
25,15,31336,35030,Core 0-3,0.4718489986276256,0
7,8,55747,3743,Core 0-3,0.26540347087155436,0
17,17,35544,32950,Core 0-3,0.1150873323591175,0
14,25,36239,7856,Core 0-3,0.1984124333016814,0
15,23,59765,14310,Core 0-3,0.36737962704299576,0
20,14,60890,2851,Core 4-7,0.6824757408837161,0
21,26,21270,24325,Core 0-3,0.2542473937351779,1
18,23,61314,39501,Core 0-3,0.3356613100604998,0
19,6,23486,9073,Core 0-3,0.4059149496638839,0
18,17,16020,20112,Core 0-3,0.7576420006400802,0
14,29,35370,6563,Core 4-7,0.4923475007997414,0
20,2,2243,28799,Core 0-3,0.5269977288348793,0
23,11,96574,49818,Core 0-3,0.5821399853518889,1
5,16,96711,16646,Core 0-3,0.7789838820688033,0
7,19,24615,40459,Core 4-7,0.5167435986409621,0
12,17,95750,3551,Core 0-3,0.14694424939016754,0
17,21,59290,44831,Core 4-7,0.525385784863265,0
19,27,7397,34129,Core 0-3,0.788096460944075,0
16,21,88239,45650,Core 4-7,0.6282059332150678,0
2,6,63997,14534,Core 4-7,0.5430055569159502,0
12,14,59323,4040,Core 4-7,0.5707483171903328,0
29,13,7989,39010,Core 4-7,0.1325671527731378,0
17,23,99243,21437,Core 4-7,0.1046831958209603,0
21,26,4685,8241,Core 0-3,0.6788228428107774,0
3,25,49819,12207,Core 0-3,0.757135073944972,0
8,29,24020,3168,Core 0-3,0.37410134408692397,0
5,7,73066,26737,Core 4-7,0.5386583885066688,0
21,13,49011,17203,Core 4-7,0.6241589547207863,0
23,6,43047,2136,Core 0-3,0.8320131540422306,0
24,29,31359,44935,Core 0-3,0.48401188183538785,0
17,25,48305,17575,Core 4-7,0.6475548029269083,0
21,2,61578,31921,Core 4-7,0.8986372041316504,1
25,22,75547,19235,Core 4-7,0.4439102248458845,0
27,5,36645,34536,Core 4-7,0.5129588457070177,0
28,12,72838,15404,Core 0-3,0.2788845924597076,0
25,15,64199,30764,Core 0-3,0.28894369877903453,0
14,6,20366,49895,Core 4-7,0.675089366716818,0
23,26,8276,38222,Core 0-3,0.7387762155825873,0
14,1,58684,43595,Core 4-7,0.7327253208462019,1
4,11,30688,27536,Core 0-3,0.2933731045300485,0
15,21,18719,19482,Core 4-7,0.4588611898147082,0
2,12,64301,45565,Core 0-3,0.5956951789787416,0
21,24,22065,2530,Core 0-3,0.04473826147105936,0
4,3,34725,22059,Core 4-7,0.5913959325692354,0
29,19,28750,36604,Core 0-3,0.8760936987995691,0
17,13,59226,18597,Core 4-7,0.7273384235755731,0
29,29,16432,35262,Core 0-3,0.01793738439804815,0
23,11,52158,49919,Core 0-3,0.5794688685165137,0
3,23,16677,41845,Core 4-7,0.5431927053428668,1
22,7,78621,10189,Core 0-3,0.5543322188203572,1
28,12,64897,36356,Core 4-7,0.5214266635132743,0
21,18,36026,27158,Core 0-3,0.4347086667066582,0
16,29,25410,14753,Core 0-3,0.03493056603076955,0
12,16,82777,47286,Core 4-7,0.562184306996165,0
20,8,7071,49482,Core 0-3,0.6254765983073359,0
3,21,39710,3350,Core 4-7,0.38892786681639724,0
25,25,78571,39874,Core 0-3,0.7517148300344703,0
5,13,37107,4795,Core 0-3,0.17196274465208278,0
16,17,45445,4885,Core 0-3,0.1549357180859714,0
26,27,45463,16737,Core 4-7,0.5169974556201865,0
7,4,23698,45430,Core 0-3,0.36365855618588716,0
20,24,99703,8400,Core 4-7,0.6944082440611253,0
16,9,17216,36421,Core 4-7,0.41448665437116494,0
17,9,50458,24831,Core 4-7,0.7716075284344424,0
2,10,68177,32718,Core 0-3,0.35559469852397774,0
12,11,65194,3433,Core 4-7,0.5287415923869017,0
26,1,66054,49830,Core 0-3,0.1031000685164698,1
13,17,24247,12508,Core 0-3,0.4893490632497671,0
