mcs_dl_i,mcs_ul_i,dl_kbps_i,ul_kbps_i,cpu_set,cpu_i,explode
24,15,7465,8842,Core 0-3,0.8,1
17,29,3797,3704,Core 0-3,0.24,0
14,23,471,8565,Core 0-3,0.63,1
23,19,2310,9636,Core 0-3,0.32,0
6,10,4469,9790,Core 0-3,0.67,1
18,21,6947,5992,Core 0-3,0.66,0
2,25,2779,2165,Core 4-7,0.16,1
1,26,7074,1461,Core 4-7,0.75,1
12,7,1314,5391,Core 4-7,0.85,1
28,14,6283,9153,Core 0-3,0.52,1
24,4,2096,8513,Core 4-7,0.46,1
26,19,5617,2527,Core 0-3,0.94,0
3,5,618,6259,Core 0-3,0.39,1
1,25,5046,8168,Core 4-7,0.1,1
25,19,7583,1139,Core 0-3,0.66,1
25,29,832,7415,Core 4-7,0.12,1
7,2,7281,3542,Core 0-3,0.95,1
8,25,7921,3390,Core 4-7,0.24,0
21,2,6261,3687,Core 0-3,0.98,1
15,9,503,7307,Core 4-7,0.97,0
14,10,6022,5872,Core 0-3,0.56,1
8,5,3158,6352,Core 4-7,0.88,0
25,21,1660,6100,Core 4-7,0.54,1
18,27,6541,7067,Core 4-7,0.79,0
29,7,1329,6027,Core 4-7,0.85,0
4,26,4728,3887,Core 4-7,0.45,1
25,3,8685,9685,Core 0-3,0.26,0
2,12,5513,5687,Core 0-3,0.54,0
6,19,8472,4101,Core 4-7,0.97,1
19,11,9951,698,Core 0-3,0.75,1
29,24,365,4149,Core 4-7,0.76,1
4,29,1523,3266,Core 4-7,0.33,0
9,7,5893,1008,Core 0-3,0.52,0
7,20,2822,7762,Core 0-3,0.79,1
12,15,4678,7547,Core 4-7,0.54,0
16,22,3843,2506,Core 4-7,0.93,0
22,16,2163,5785,Core 4-7,0.16,1
28,7,2446,2637,Core 0-3,0.52,1
19,1,5141,1658,Core 4-7,0.68,1
22,15,8813,6613,Core 0-3,0.49,0
2,22,6827,3947,Core 0-3,0.94,1
7,16,3225,1599,Core 4-7,0.83,1
26,15,8647,9140,Core 0-3,0.97,1
24,5,3246,6910,Core 0-3,0.67,1
25,2,8038,2760,Core 4-7,0.89,0
3,20,3816,8685,Core 0-3,0.7,0
26,1,1121,1477,Core 0-3,0.28,1
13,20,3831,6741,Core 0-3,0.79,0
26,12,6303,6981,Core 0-3,0.53,0
21,4,8009,7555,Core 4-7,0.66,1
9,1,114,344,Core 4-7,0.35,0
28,15,762,1375,Core 0-3,0.23,0
14,4,9305,5027,Core 4-7,0.45,1
18,29,9099,6366,Core 4-7,0.31,1
25,14,5099,8914,Core 0-3,0.69,0
26,20,271,4212,Core 0-3,0.48,0
23,14,5880,6964,Core 4-7,0.97,1
25,14,2633,3180,Core 0-3,0.87,1
3,23,9558,6078,Core 4-7,0.56,1
7,16,4042,4087,Core 4-7,0.85,0
8,5,4968,1300,Core 4-7,0.9,1
8,11,3292,4614,Core 4-7,0.37,0
5,3,9812,3836,Core 0-3,0.86,0
19,3,4561,3566,Core 4-7,0.39,0
5,25,6704,8732,Core 4-7,0.9,1
3,10,819,1208,Core 0-3,0.85,1
29,15,5744,8679,Core 4-7,0.91,1
25,3,5741,3450,Core 0-3,0.81,0
15,19,6951,2545,Core 0-3,0.3,1
13,24,879,7840,Core 0-3,0.14,1
25,29,8471,1710,Core 0-3,0.63,0
24,8,4207,1809,Core 0-3,0.57,1
8,4,5594,8336,Core 4-7,0.31,0
8,27,6245,8833,Core 4-7,0.97,0
8,25,7856,3844,Core 4-7,0.48,1
22,14,1175,7693,Core 4-7,0.67,1
14,14,5855,2748,Core 4-7,0.57,1
3,14,9882,6314,Core 4-7,0.62,0
28,15,5415,6017,Core 0-3,0.39,0
2,10,3924,9819,Core 4-7,0.72,1
27,20,2538,8096,Core 4-7,0.41,1
19,23,3061,9156,Core 4-7,0.53,0
7,5,6505,9112,Core 4-7,0.89,0
9,12,1216,7790,Core 0-3,0.67,0
29,29,9073,7441,Core 4-7,0.18,0
9,19,4885,3346,Core 0-3,0.41,1
16,9,5180,932,Core 4-7,0.43,1
10,28,1888,3264,Core 4-7,0.2,0
5,8,8513,818,Core 4-7,0.68,0
21,2,6997,3920,Core 0-3,0.32,0
22,15,916,4193,Core 0-3,0.79,1
24,24,6968,8476,Core 0-3,0.17,1
27,29,7687,1750,Core 0-3,0.48,1
3,5,8801,1926,Core 4-7,0.99,1
17,24,2792,4527,Core 4-7,0.44,0
16,8,6068,6832,Core 0-3,0.12,1
9,12,5893,5234,Core 0-3,0.58,1
17,17,618,5165,Core 4-7,0.28,1
18,11,9896,5116,Core 0-3,0.99,1
23,7,2078,9300,Core 4-7,0.72,1
