mcs_dl_i,mcs_ul_i,dl_kbps_i,ul_kbps_i,cpu_set,cpu_i,explode
7,7,46562,29636,Core 4-7,0.291191802300348,0
20,13,57190,17859,Core 0-3,0.4785662455334218,0
29,2,78082,48172,Core 4-7,0.38041857125870865,0
15,6,99480,6621,Core 0-3,0.48464464824867526,0
11,9,24134,34296,Core 0-3,0.7888888100374275,0
8,20,4590,17409,Core 0-3,0.5172163338172007,0
29,25,45766,2827,Core 0-3,0.5211980395243622,0
21,2,30508,19430,Core 0-3,0.9075842487336494,0
7,18,88143,35751,Core 0-3,0.39852549002460236,0
26,16,59204,36002,Core 0-3,0.6225538409277742,0
19,25,63366,32047,Core 4-7,0.3937576073210119,0
23,12,8882,32188,Core 4-7,0.6571504901852876,0
11,7,48274,42998,Core 0-3,0.31904307494386774,0
11,7,75070,43370,Core 4-7,0.4330299476417848,0
24,17,74562,7804,Core 4-7,0.38777136675622825,0
21,13,90109,4549,Core 0-3,0.29128665204334225,0
4,11,47198,15447,Core 4-7,0.07473389164815614,0
8,6,1610,9995,Core 0-3,0.5814894886056526,0
24,29,82481,25207,Core 4-7,0.37263128721317756,0
3,23,886,33660,Core 4-7,0.4456743233641962,0
22,27,59013,45044,Core 4-7,0.474098555712075,0
21,14,84620,44135,Core 0-3,0.20682637107869206,0
2,6,48301,31206,Core 4-7,0.42139711337228253,0
24,6,96585,35734,Core 0-3,0.1426649429319241,0
12,2,72357,34493,Core 0-3,0.4080805963181996,0
6,22,90476,15487,Core 4-7,0.7996396436724147,0
2,20,32066,19589,Core 0-3,0.3924175049006545,0
28,25,33021,961,Core 0-3,0.27049054302240577,0
21,15,24298,10493,Core 4-7,0.4019674510353425,0
1,28,14065,11965,Core 0-3,0.8136783412006721,0
12,17,23527,17035,Core 4-7,0.41016342250504395,0
26,29,98131,33140,Core 4-7,0.190023829779153,0
22,8,6131,10961,Core 0-3,0.13486984096079668,0
29,5,90365,12866,Core 4-7,0.41896073670990036,0
12,17,57378,30395,Core 4-7,0.6626400433774335,1
25,20,45706,2285,Core 0-3,0.5882045633643049,1
17,1,59082,6742,Core 0-3,0.7195630966163382,1
27,22,58834,25029,Core 0-3,0.6255738225304838,0
27,18,72823,47580,Core 0-3,0.5022445527346583,0
10,15,54119,6856,Core 4-7,0.0,0
28,5,27375,23729,Core 4-7,0.7769697562697215,0
28,7,25014,20344,Core 4-7,0.20864345925017858,0
16,18,23080,18720,Core 4-7,0.9621212368951293,0
15,6,86327,42857,Core 4-7,0.3466339779010057,0
15,22,4788,26151,Core 0-3,0.35491703909822986,0
