mcs_dl_i,mcs_ul_i,dl_kbps_i,ul_kbps_i,cpu_set,cpu_i,explode
25,18,3122,8712,Core 4-7,0.43,1
9,16,2866,4203,Core 0-3,0.74,0
14,6,9880,9512,Core 4-7,0.57,0
15,25,9219,3886,Core 4-7,0.51,0
20,2,4553,1372,Core 0-3,0.29,1
27,22,8502,8259,Core 4-7,0.95,1
12,18,730,4445,Core 4-7,0.99,0
4,17,5112,5977,Core 4-7,0.84,1
9,29,9239,7593,Core 0-3,0.67,0
5,23,6906,4640,Core 0-3,0.3,0
16,10,5056,8589,Core 4-7,0.52,1
18,7,7849,4863,Core 4-7,0.14,0
4,21,404,9369,Core 0-3,0.36,0
3,9,3097,6633,Core 0-3,0.27,1
3,7,4609,6766,Core 4-7,0.55,1
18,4,9000,3950,Core 4-7,0.46,1
26,27,9287,9554,Core 4-7,0.52,0
12,19,5558,3359,Core 4-7,0.79,0
8,21,7373,974,Core 0-3,0.23,1
3,20,4652,9678,Core 0-3,0.6,1
19,8,6839,8439,Core 0-3,0.34,0
13,27,5028,8826,Core 0-3,0.85,1
9,1,9851,7765,Core 4-7,0.52,1
13,26,6077,4208,Core 0-3,0.58,1
13,25,105,5925,Core 0-3,0.38,0
5,27,5070,4244,Core 4-7,0.12,0
17,18,7071,7147,Core 0-3,0.68,0
28,9,5094,2384,Core 0-3,0.34,0
3,25,2914,9839,Core 0-3,0.14,1
6,16,9510,2337,Core 0-3,0.25,1
15,21,6716,9780,Core 0-3,0.66,0
22,11,4886,9608,Core 4-7,0.49,0
4,29,1686,6333,Core 4-7,0.28,1
24,13,705,9520,Core 0-3,0.94,1
26,12,6601,226,Core 0-3,0.13,0
23,9,8706,633,Core 4-7,0.84,1
13,6,132,7463,Core 4-7,0.49,1
17,4,9278,2673,Core 4-7,0.74,1
2,17,9441,2910,Core 4-7,0.83,0
6,8,5385,7131,Core 4-7,0.61,0
3,19,4645,2804,Core 0-3,0.87,1
22,26,7433,6081,Core 0-3,0.2,0
25,22,9114,4515,Core 0-3,0.67,1
15,8,3694,8365,Core 0-3,0.22,0
5,17,5585,9147,Core 0-3,0.79,0
19,8,7846,1839,Core 0-3,0.5,1
22,22,7665,1599,Core 4-7,0.44,0
21,26,4517,1082,Core 0-3,0.55,1
23,26,2795,9657,Core 0-3,0.42,0
6,23,4755,5981,Core 0-3,0.61,1
11,22,8450,2970,Core 0-3,0.37,0
3,29,3140,8904,Core 0-3,0.67,0
10,21,1697,4954,Core 0-3,0.59,0
26,10,6532,4267,Core 4-7,0.63,1
1,16,6558,3386,Core 4-7,0.95,0
21,5,7540,7929,Core 0-3,0.31,0
6,12,5160,3627,Core 0-3,0.28,0
7,12,8509,237,Core 0-3,0.28,1
4,13,7397,8213,Core 0-3,0.68,1
5,24,5730,5280,Core 0-3,0.39,0
25,11,8872,1015,Core 4-7,0.69,1
10,17,5714,3522,Core 0-3,0.47,0
19,14,1828,653,Core 4-7,0.84,0
9,28,1633,455,Core 4-7,0.36,1
14,24,2071,2875,Core 4-7,0.56,1
25,20,7513,8787,Core 0-3,0.73,1
11,22,8980,5182,Core 0-3,0.43,0
1,13,740,7622,Core 4-7,0.43,1
18,15,2522,7464,Core 0-3,0.74,1
16,7,4160,9429,Core 4-7,0.55,1
28,7,6586,9928,Core 4-7,0.52,0
19,6,2777,5258,Core 0-3,0.36,0
14,17,6457,3138,Core 4-7,0.6,0
15,29,4733,7702,Core 0-3,0.41,0
15,6,9828,7079,Core 0-3,0.17,0
12,15,3732,8378,Core 0-3,0.87,0
16,11,6550,5717,Core 4-7,0.63,0
16,28,2362,7215,Core 0-3,0.63,0
6,13,3046,5726,Core 0-3,0.82,1
18,20,6637,5172,Core 4-7,0.8,0
13,4,9765,6096,Core 4-7,0.94,1
1,22,8563,9461,Core 0-3,0.4,0
18,20,4428,1040,Core 0-3,0.48,0
15,24,3304,2176,Core 0-3,0.25,0
25,5,8821,6846,Core 0-3,0.79,0
2,1,7653,2923,Core 4-7,0.83,1
18,17,6017,8620,Core 0-3,0.78,0
25,19,7576,3503,Core 4-7,0.24,0
12,3,5224,3091,Core 4-7,0.25,0
25,24,1787,3532,Core 4-7,0.51,1
19,23,4271,8308,Core 0-3,0.5,0
5,25,922,8199,Core 0-3,0.49,0
3,13,7440,8463,Core 4-7,0.8,0
13,26,4147,3881,Core 0-3,0.31,1
27,20,8408,6465,Core 0-3,0.33,0
20,3,7883,9482,Core 0-3,0.61,0
9,22,8249,6671,Core 0-3,0.38,0
19,6,9019,1306,Core 4-7,0.97,1
19,28,1064,8462,Core 0-3,0.88,0
13,8,4223,3816,Core 0-3,0.93,1
