mcs_dl_i,mcs_ul_i,dl_kbps_i,ul_kbps_i,cpu_set,cpu_i,explode,predicted_dl_kbps,recommended_cpu_cores,recommended_mcs_dl,power_optimization,load_balancing
7,7,46562,29636,Core 4-7,0.291191802300348,0,0.6336954572625931,Core 0-3,6,Reduce Power,Normal Operation
20,13,57190,17859,Core 0-3,0.4785662455334218,0,0.614953621619001,Core 0-3,19,Reduce Power,Normal Operation
29,2,78082,48172,Core 4-7,0.3804185712587086,0,0.6042962851171109,Core 0-3,28,Reduce Power,Normal Operation
15,6,99480,6621,Core 0-3,0.4846446482486752,0,0.6438976237145583,Core 0-3,14,Reduce Power,Normal Operation
11,9,24134,34296,Core 0-3,0.7888888100374275,0,0.5749060981137383,Core 0-3,10,Reduce Power,Normal Operation
8,20,4590,17409,Core 0-3,0.5172163338172007,0,0.7515384224153506,Core 0-3,7,Reduce Power,Normal Operation
29,25,45766,2827,Core 0-3,0.5211980395243622,0,0.7536314218556632,Core 0-3,28,Reduce Power,Normal Operation
21,2,30508,19430,Core 0-3,0.9075842487336494,0,0.5928524621479938,Core 0-3,20,Reduce Power,Normal Operation
7,18,88143,35751,Core 0-3,0.3985254900246023,0,0.6114080435535549,Core 0-3,6,Reduce Power,Normal Operation
26,16,59204,36002,Core 0-3,0.6225538409277742,0,0.787827248508354,Core 0-3,25,Reduce Power,Normal Operation
19,25,63366,32047,Core 4-7,0.3937576073210119,0,0.5999652778416895,Core 0-3,18,Reduce Power,Normal Operation
23,12,8882,32188,Core 4-7,0.6571504901852876,0,0.739183087694889,Core 0-3,22,Reduce Power,Normal Operation
11,7,48274,42998,Core 0-3,0.3190430749438677,0,0.6284584134175689,Core 0-3,10,Reduce Power,Normal Operation
11,7,75070,43370,Core 4-7,0.4330299476417848,0,0.6191280087706929,Core 0-3,10,Reduce Power,Normal Operation
24,17,74562,7804,Core 4-7,0.3877713667562282,0,0.6042207692738254,Core 0-3,23,Reduce Power,Normal Operation
21,13,90109,4549,Core 0-3,0.2912866520433422,0,0.6336954572625931,Core 0-3,20,Reduce Power,Normal Operation
4,11,47198,15447,Core 4-7,0.0747338916481561,0,0.6720172483895774,Core 0-3,3,Reduce Power,Normal Operation
8,6,1610,9995,Core 0-3,0.5814894886056526,0,0.769114149802637,Core 0-3,7,Reduce Power,Normal Operation
24,29,82481,25207,Core 4-7,0.3726312872131775,0,0.620359069880624,Core 0-3,23,Reduce Power,Normal Operation
3,23,886,33660,Core 4-7,0.4456743233641962,0,0.6171950645493726,Core 0-3,2,Reduce Power,Normal Operation
22,27,59013,45044,Core 4-7,0.474098555712075,0,0.6011523503549949,Core 0-3,21,Reduce Power,Normal Operation
21,14,84620,44135,Core 0-3,0.206826371078692,0,0.6743396186470062,Core 0-3,20,Reduce Power,Normal Operation
2,6,48301,31206,Core 4-7,0.4213971133722825,0,0.6172642413863865,Core 0-3,1,Reduce Power,Normal Operation
24,6,96585,35734,Core 0-3,0.1426649429319241,0,0.6743669912103033,Core 0-3,23,Reduce Power,Normal Operation
12,2,72357,34493,Core 0-3,0.4080805963181996,0,0.6145164449272034,Core 0-3,11,Reduce Power,Normal Operation
6,22,90476,15487,Core 4-7,0.7996396436724147,0,0.5890134144605468,Core 0-3,5,Reduce Power,Normal Operation
2,20,32066,19589,Core 0-3,0.3924175049006545,0,0.5965728434936466,Core 0-3,1,Reduce Power,Normal Operation
28,25,33021,961,Core 0-3,0.2704905430224057,0,0.6492685072881058,Core 0-3,27,Reduce Power,Normal Operation
21,15,24298,10493,Core 4-7,0.4019674510353425,0,0.6134197545128243,Core 0-3,20,Reduce Power,Normal Operation
1,28,14065,11965,Core 0-3,0.8136783412006721,0,0.6328841537053487,Core 0-3,0,Reduce Power,Normal Operation
12,17,23527,17035,Core 4-7,0.4101634225050439,0,0.620609142509609,Core 0-3,11,Reduce Power,Normal Operation
