date,cpu_platform,BW,UL/DL,TM,traffic_load,pm_power,rapl_power,clockspeed,failed_experiment
2024-01-01 00:00:00,AMD EPYC,20,DL,9,7145,30.077138540533188,19.551303218087916,2367,0
2024-01-01 00:05:00,AMD EPYC,20,DLUL,6,2111,40.05549281281954,33.887919396259534,2745,0
2024-01-01 00:10:00,Intel Xeon,100,DL,8,16915,49.298743996073284,30.559537348906158,2511,0
2024-01-01 00:15:00,Intel Xeon,20,DLUL,1,14194,45.01052312358329,33.00034715987797,3893,0
2024-01-01 00:20:00,Intel Xeon,10,UL,4,8987,57.346123153769305,40.160151309350496,2718,0
2024-01-01 00:25:00,Intel Xeon,20,DLUL,3,14122,27.514171242661444,16.795805799243176,3990,0
2024-01-01 00:30:00,AMD EPYC,20,UL,1,17502,46.345943942876225,30.740647100745065,2489,0
2024-01-01 00:35:00,Intel Xeon,100,DL,9,1416,33.397638306710775,29.192930625458104,2773,0
2024-01-01 00:40:00,Intel Xeon,50,DLUL,8,18277,34.525328308292885,23.600017501890694,3493,0
2024-01-01 00:45:00,AMD EPYC,100,DLUL,9,15724,39.32213957328825,31.893009533789318,3983,0
2024-01-01 00:50:00,Intel Xeon,10,UL,6,14367,52.96306747219694,45.35241924523936,2171,0
2024-01-01 00:55:00,AMD EPYC,10,DL,6,18046,61.74553275581165,53.60152633951612,3007,0
2024-01-01 01:00:00,AMD EPYC,10,DLUL,9,18510,56.29935030831476,47.40731666655017,2374,0
2024-01-01 01:05:00,AMD EPYC,100,UL,9,15819,66.70040749304339,47.796462646076726,3250,0
2024-01-01 01:10:00,AMD EPYC,10,UL,9,12119,54.71197700158944,34.54669032792223,2903,0
2024-01-01 01:15:00,AMD EPYC,20,UL,7,6927,58.55398177582592,37.9822769930929,2248,0
2024-01-01 01:20:00,AMD EPYC,100,UL,6,17332,51.21261805566785,32.76693299049368,2787,0
2024-01-01 01:25:00,Intel Xeon,20,DL,6,18756,72.3541992219077,50.56260152991401,2470,0
2024-01-01 01:30:00,AMD EPYC,10,DLUL,4,18385,44.97387755658641,38.14224501495046,3419,0
2024-01-01 01:35:00,AMD EPYC,100,UL,3,2772,43.677471904934556,30.719608969901067,2862,0
2024-01-01 01:40:00,Intel Xeon,50,DL,1,4482,47.14150577673195,35.8983627233795,3125,0
2024-01-01 01:45:00,Intel Xeon,10,DL,7,8097,50.22250013411539,37.766215787269395,3711,0
2024-01-01 01:50:00,Intel Xeon,10,UL,1,18592,49.51678047746641,38.08603362911895,2795,0
2024-01-01 01:55:00,Intel Xeon,50,DL,6,3730,24.657914434585123,15.56991870629331,2652,0
2024-01-01 02:00:00,AMD EPYC,100,UL,9,18880,39.38669944497386,30.68909689541633,3710,1
2024-01-01 02:05:00,AMD EPYC,10,DL,5,10328,38.84184625567438,34.54571276688852,2322,0
2024-01-01 02:10:00,AMD EPYC,10,UL,7,3054,56.234178940373226,44.631057307229064,2279,0
2024-01-01 02:15:00,AMD EPYC,100,UL,9,11699,50.018778387355496,37.81415309635285,2218,0
2024-01-01 02:20:00,AMD EPYC,50,UL,2,3087,59.47629204076786,42.195529357526645,3871,0
2024-01-01 02:25:00,Intel Xeon,100,DL,5,6785,63.21786517652875,38.66802141148624,2856,0
2024-01-01 02:30:00,AMD EPYC,10,DL,1,19564,48.96767602491853,30.893576054358213,2278,0
2024-01-01 02:35:00,Intel Xeon,50,UL,5,14145,53.36493921846527,38.288563913394455,2418,0
2024-01-01 02:40:00,AMD EPYC,10,DL,2,3463,54.30915901766861,40.173474723855485,3883,0
2024-01-01 02:45:00,AMD EPYC,100,DL,7,10024,38.8578460227624,28.122382344033934,3426,0
2024-01-01 02:50:00,Intel Xeon,20,DLUL,3,15239,47.68894216392401,33.55667109698342,2929,0
2024-01-01 02:55:00,AMD EPYC,50,UL,6,14655,49.920175642740716,39.95700948643986,2308,0
2024-01-01 03:00:00,Intel Xeon,100,DL,1,6966,61.79423822158587,55.26022185554373,2895,0
2024-01-01 03:05:00,AMD EPYC,100,DL,8,9955,49.53033196675886,39.561421353776694,3162,0
2024-01-01 03:10:00,Intel Xeon,50,DLUL,8,19742,49.02143815874766,37.06834073017917,3258,0
2024-01-01 03:15:00,Intel Xeon,20,DL,2,17899,32.824259190856594,29.51612759825491,2099,0
2024-01-01 03:20:00,AMD EPYC,20,UL,7,4849,50.18079670494373,31.455340609263455,3950,0
2024-01-01 03:25:00,AMD EPYC,20,UL,3,10250,40.55671966062417,32.20209932484054,2884,0
2024-01-01 03:30:00,AMD EPYC,100,DL,2,7656,43.86852442411938,33.13799747896031,3658,0
2024-01-01 03:35:00,Intel Xeon,10,UL,3,11530,54.36574128411922,42.04527349266264,3355,0
2024-01-01 03:40:00,Intel Xeon,100,DL,9,11829,44.92280879859589,39.222745873519784,2831,0
2024-01-01 03:45:00,Intel Xeon,100,DLUL,9,9952,39.639797176419926,27.692148341373358,2312,0
2024-01-01 03:50:00,AMD EPYC,10,DL,5,9288,41.01893098208799,31.461682834291516,2363,0
2024-01-01 03:55:00,Intel Xeon,20,UL,9,13287,54.500405600706635,36.53904090956028,2088,0
2024-01-01 04:00:00,AMD EPYC,100,DL,9,15796,68.27551519592959,49.41798727957777,3028,0
2024-01-01 04:05:00,AMD EPYC,50,DL,5,2627,35.63082968269758,29.932992829963972,2115,0
2024-01-01 04:10:00,Intel Xeon,10,DL,2,10339,43.5059198360356,33.5168495026526,3099,0
2024-01-01 04:15:00,AMD EPYC,20,DL,8,899,35.2622855080148,30.867684638307946,2535,0
2024-01-01 04:20:00,AMD EPYC,10,UL,3,3652,66.34658385025011,58.788398107076304,2068,0
2024-01-01 04:25:00,Intel Xeon,50,UL,4,15167,48.7199641365955,43.03548836766381,3891,0
2024-01-01 04:30:00,Intel Xeon,50,DL,2,13347,54.5293723519886,39.87786222019502,2983,0
2024-01-01 04:35:00,AMD EPYC,100,DLUL,5,19515,62.80044054025971,49.209405900750376,3714,0
2024-01-01 04:40:00,Intel Xeon,100,UL,8,16347,39.181721190765785,29.071126331500913,2471,0
2024-01-01 04:45:00,AMD EPYC,20,DLUL,5,15821,58.07509491583663,47.24809416927372,3838,0
2024-01-01 04:50:00,Intel Xeon,20,UL,2,19655,27.40224575232432,23.660772502098375,2833,0
2024-01-01 04:55:00,Intel Xeon,10,DLUL,9,18610,37.452029665291505,28.527804952755456,3761,0
2024-01-01 05:00:00,AMD EPYC,20,UL,4,16069,44.30822474824978,38.84741537108797,3246,0
2024-01-01 05:05:00,AMD EPYC,20,DL,1,3256,46.277010032441844,35.41120281072942,2985,0
2024-01-01 05:10:00,Intel Xeon,20,DLUL,6,3731,53.634990061451546,37.96325737430536,3740,0
2024-01-01 05:15:00,AMD EPYC,50,DL,3,12355,47.020490529319424,29.829209162763252,3436,0
2024-01-01 05:20:00,Intel Xeon,20,DLUL,4,7519,57.43903073087618,46.03056711852069,3267,0
