date,cpu_platform,BW,UL/DL,TM,traffic_load,pm_power,rapl_power,clockspeed,failed_experiment
2024-01-01 00:00:00,AMD EPYC,100,UL,5,19388,57.045314503928765,38.537711798885184,2098,1
2024-01-01 00:05:00,AMD EPYC,50,DL,7,3874,46.77700548265524,41.67411031470863,2576,0
2024-01-01 00:10:00,AMD EPYC,50,DL,8,11640,54.92052981162209,46.971548311979724,3622,0
2024-01-01 00:15:00,Intel Xeon,100,UL,3,14425,61.279844288807084,51.47878405947917,3123,0
2024-01-01 00:20:00,AMD EPYC,100,DL,5,8376,57.82558516909559,37.26060415238629,2384,0
2024-01-01 00:25:00,AMD EPYC,20,DLUL,7,13279,51.169450806593936,32.77030991264596,3858,0
2024-01-01 00:30:00,Intel Xeon,50,DL,9,15424,21.166665559705923,18.002087460011676,2715,0
2024-01-01 00:35:00,AMD EPYC,10,UL,3,10597,35.53929470098392,28.054928696525845,3617,0
2024-01-01 00:40:00,AMD EPYC,50,DL,9,6889,68.34592406221618,52.12129514509691,3584,0
2024-01-01 00:45:00,Intel Xeon,100,DL,7,3376,40.452369718051216,35.72384780286178,2801,0
2024-01-01 00:50:00,AMD EPYC,50,UL,1,7032,61.67786962252105,39.755485387797584,2599,0
2024-01-01 00:55:00,AMD EPYC,50,DL,1,18293,37.73898154271769,33.34747914422697,2210,0
2024-01-01 01:00:00,Intel Xeon,100,UL,6,4656,40.36599523227417,30.89012924110738,2315,0
2024-01-01 01:05:00,Intel Xeon,20,UL,2,5190,56.800409655634056,36.54309157083382,3025,0
2024-01-01 01:10:00,Intel Xeon,50,UL,5,3959,65.5427694951337,47.91237283934454,2691,0
2024-01-01 01:15:00,AMD EPYC,50,UL,7,13868,56.507059852559586,46.79434536927932,2096,0
2024-01-01 01:20:00,AMD EPYC,100,UL,5,7567,53.56583879353899,33.6188672434102,2631,0
2024-01-01 01:25:00,Intel Xeon,50,DL,1,13607,36.39363531011107,31.890925644767933,3857,0
2024-01-01 01:30:00,AMD EPYC,10,DLUL,8,9993,28.721061702593147,19.240542306885946,3451,0
2024-01-01 01:35:00,Intel Xeon,20,DLUL,3,3493,45.67577335660323,27.43964807772684,2133,0
2024-01-01 01:40:00,Intel Xeon,100,DL,1,7749,51.54548097697651,41.66574140972186,2681,0
2024-01-01 01:45:00,AMD EPYC,50,UL,7,15357,49.48198698132336,36.243109036345736,2915,0
2024-01-01 01:50:00,Intel Xeon,10,DL,4,12072,72.1083258634298,49.380453654738595,3687,0
2024-01-01 01:55:00,Intel Xeon,20,DL,1,14615,34.57904322194922,26.425654072094787,3295,0
2024-01-01 02:00:00,Intel Xeon,100,DLUL,5,6961,46.953152162123956,31.67846908640047,3823,0
2024-01-01 02:05:00,Intel Xeon,20,DLUL,7,7793,66.70356510336714,40.151382979515105,2193,0
2024-01-01 02:10:00,AMD EPYC,20,DL,4,12801,56.50804090324477,41.62895074861506,3146,0
2024-01-01 02:15:00,Intel Xeon,100,DLUL,4,5325,39.05722259403085,28.952760465809387,3008,0
2024-01-01 02:20:00,Intel Xeon,20,UL,2,1508,27.849094269228893,18.55474618467244,3052,0
